12:23:54.202476 IP localhost.5806 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.203163 IP localhost.42439 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.203851 IP localhost.7630 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.204814 IP localhost.25056 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.205469 IP localhost.21325 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.206292 IP localhost.43220 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.206983 IP localhost.46976 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.207664 IP localhost.43814 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.208342 IP localhost.15548 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.209036 IP localhost.19476 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.209720 IP localhost.47563 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.210390 IP localhost.24009 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.211186 IP localhost.38167 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.211875 IP localhost.58721 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.212568 IP localhost.7589 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.213233 IP localhost.12634 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.213916 IP localhost.42395 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.214613 IP localhost.48881 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.215288 IP localhost.48912 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.215979 IP localhost.52895 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.216838 IP localhost.59425 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.217499 IP localhost.56358 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.218183 IP localhost.51819 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.218871 IP localhost.56986 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.219526 IP localhost.26110 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.220231 IP localhost.42530 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.220920 IP localhost.22552 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.221960 IP localhost.59228 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.222657 IP localhost.53187 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.223573 IP localhost.62460 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.224645 IP localhost.41042 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.225502 IP localhost.20341 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.226188 IP localhost.48928 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.226879 IP localhost.55629 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.227556 IP localhost.7907 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.228276 IP localhost.52767 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.228975 IP localhost.47407 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.229783 IP localhost.44278 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.230443 IP localhost.26535 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.231132 IP localhost.54860 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.231817 IP localhost.488 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.232496 IP localhost.51998 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.233230 IP localhost.54269 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.233931 IP localhost.59861 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.234617 IP localhost.4362 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.235290 IP localhost.54615 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.236104 IP localhost.2477 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.236795 IP localhost.20292 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.237449 IP localhost.57585 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.238172 IP localhost.62706 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.238859 IP localhost.42610 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.239538 IP localhost.55449 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.240515 IP localhost.59332 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.241197 IP localhost.44181 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.242016 IP localhost.15840 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.242713 IP localhost.22247 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.243370 IP localhost.5183 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.244073 IP localhost.61293 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.244756 IP localhost.52765 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.245410 IP localhost.63623 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.246102 IP localhost.5558 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.246789 IP localhost.50691 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.247454 IP localhost.29394 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.248347 IP localhost.41413 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.249037 IP localhost.32892 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
